o@id,o@url,o@price,o@avail,o@set,o@weight,o@basket,o@stock,o_cat,o_name,o_desc,o_imgs_main@url,o_attrs_a@name,o_attrs_a
8,https://konopnysklep.com.pl/kosmetyki/capillus-szampon-przeciwlupiezowy.html,44,1,0,0,1,856,Kosmetyki konopne,Capillus szampon przeciwłupieżowy,Capillus szampon przeciwłupieżowy pojemność 150ml,https://konopnysklep.com.pl/24-large_default/capillus-szampon-przeciwlupiezowy.jpg,Producent,Cannaderm
17,https://konopnysklep.com.pl/kosmetyki/konopka-masc.html,42,1,0,0,1,271,Kosmetyki konopne,"Konopka maść do skóry suchej, popękanej, łuszczącej się i z AZS","Konopka maść 75g - do codziennej pielęgnacji skóry suchej, popękanej, łuszczącej się i z AZS.",https://konopnysklep.com.pl/614-large_default/konopka-masc.jpg,Producent,Cannaderm
19,https://konopnysklep.com.pl/olej-cbd/olejek-4-cbd-30ml.html,269,1,0,0,1,894,Olej CBD,Olej CBD konopny 15% CBD 10ML 1500mg + oliwa z oliwek,"OLEJEK 15% CBD 10ML

Olej jest jednym z najczystszych i najsilniejszych organicznych olejów CBD dostępnych w Europie, zawartość CBD wynosi 15%. Produkowany jest z najwyższej jakości legalnych i ekologicznych konopi przemysłowych. Zawiera śladowe ilości THC(około 0,173%), dlatego też nie jest psychoaktywny.

Oryginalny i certyfikowany preparat.",https://konopnysklep.com.pl/3651-large_default/olejek-4-cbd-30ml.jpg,Zawartość CBDA | Zawartość CBD | Producent,Nie | 15% | Konopnysklep
21,https://konopnysklep.com.pl/olej-cbd/olejek-konopny-3-cbd-10ml.html,89,1,0,0,1,36,Olej CBD,Olej CBD konopny 3% CBD 10ML,"OLEJEK KONOPNY 3% CBD 10ML

Zawartość CBD wynosi 3%(300mg), pojemność butelki 10ml.

Krople CBD Endoca to najczystsze i najsilniejsze organiczne olejki CBD na świecie. Ekstrakcja CO2 gwarantuje najwyższą i nieskazitelną jakość produktu.

Oryginalny i certyfikowany preparat.",https://konopnysklep.com.pl/2291-large_default/olejek-konopny-3-cbd-10ml.jpg,Zawartość CBDA | Zawartość CBD | Producent,Nie | 3% | Endoca
22,https://konopnysklep.com.pl/olej-cbd/olejek-konopny-raw-3-cbdcbda-10ml.html,89,1,0,0,1,89,Olej CBD,Olej CBD konopny RAW 3% CBD+CBDA 10ML,"OLEJEK KONOPNY RAW 3% CBD+CBDA 10ML

Krople CBD Endoca to najczystsze i najsilniejsze organiczne olejki CBD na świecie. Ekstrakcja CO2 gwarantuje najwyższą i nieskazitelną jakość produktu.

Oryginalny i certyfikowany preparat.",https://konopnysklep.com.pl/2294-large_default/olejek-konopny-raw-3-cbdcbda-10ml.jpg,Zawartość CBDA | Zawartość CBD | Producent,Tak | 3% | Endoca
23,https://konopnysklep.com.pl/olej-cbd/olejek-konopny-15-cbd-10ml.html,399,1,0,0,1,105,Olej CBD,Olej CBD konopny 15% CBD 10ML,"OLEJEK KONOPNY 15% CBD 10ML

Zawartość CBD wynosi 15%(1500mg), pojemność butelki 10ml.

Krople CBD Endoca to najczystsze i najsilniejsze organiczne olejki CBD na świecie. Ekstrakcja CO2 gwarantuje najwyższą i nieskazitelną jakość produktu.

Oryginalny i certyfikowany preparat.",https://konopnysklep.com.pl/2304-large_default/olejek-konopny-15-cbd-10ml.jpg,Zawartość CBDA | Zawartość CBD | Producent,Nie | 15% | Endoca
24,https://konopnysklep.com.pl/olej-cbd/olejek-konopny-raw-15-cbdcbda.html,359.1,1,0,0,1,66,Olej CBD,Olej CBD konopny RAW 15% CBD+CBDA,"OLEJEK KONOPNY RAW 15% CBD+CBDA

Krople CBD Endoca to najczystsze i najsilniejsze organiczne olejki CBD na świecie. Ekstrakcja CO2 gwarantuje najwyższą i nieskazitelną jakość produktu.

Oryginalny i certyfikowany preparat.",https://konopnysklep.com.pl/2297-large_default/olejek-konopny-raw-15-cbdcbda.jpg,Zawartość CBDA | Zawartość CBD | Producent,Tak | 15% | Endoca
25,https://konopnysklep.com.pl/olej-cbd/pasta-konopna-20-cbd-10g.html,599,1,0,0,1,939,Olej CBD,PASTA KONOPNA 20% CBD 10G,"PASTA KONOPNA 20% CBD 10G

Pasta CBD to bardzo czysty i organiczny olej CBD. Ekstrakcja za pomocą CO2 gwarantuje najwyższą i nieskazitelną jakość produktu.

Produkty firmy Endoca to najczystsze i najsilniejsze organiczne olejki CBD na świecie.

Oryginalny i certyfikowany preparat.",https://konopnysklep.com.pl/847-large_default/pasta-konopna-20-cbd-10g.jpg,Zawartość CBDA | Zawartość CBD | Producent,Nie | 20% | Endoca
26,https://konopnysklep.com.pl/olej-cbd/pasta-konopna-raw-20-cbdcbda-10g.html,599,1,0,0,1,822,Olej CBD,PASTA KONOPNA RAW 20% CBD+CBDA 10G,"PASTA KONOPNA RAW 20% CBD+CBDA 10G

Pasta CBD to bardzo czysty i organiczny olej CBD. Ekstrakcja za pomocą CO2 gwarantuje najwyższą i nieskazitelną jakość produktu.

Produkty firmy Endoca to najczystsze i najsilniejsze organiczne olejki CBD na świecie.

Oryginalny i certyfikowany preparat.",https://konopnysklep.com.pl/850-large_default/pasta-konopna-raw-20-cbdcbda-10g.jpg,Zawartość CBDA | Zawartość CBD | Producent,Tak | 20% | Endoca
28,https://konopnysklep.com.pl/olej-cbd/pasta-konopna-raw-30-cbdcbda-10g.html,849,1,0,0,1,711,Olej CBD,PASTA KONOPNA RAW 30% CBD+CBDA 10G,"PASTA KONOPNA RAW 30% CBD+CBDA 10G

Pasta CBD to bardzo czysty i organiczny olej CBD. Ekstrakcja za pomocą CO2 gwarantuje najwyższą i nieskazitelną jakość produktu.

Produkty firmy Endoca to najczystsze i najsilniejsze organiczne olejki CBD na świecie.

Oryginalny i certyfikowany preparat.",https://konopnysklep.com.pl/852-large_default/pasta-konopna-raw-30-cbdcbda-10g.jpg,Zawartość CBDA | Zawartość CBD | Producent,Tak | 30% | Endoca
60,https://konopnysklep.com.pl/kosmetyki/aknea-krem-przeciwtradzikowy.html,42,1,0,0,1,705,Kosmetyki konopne,Aknea Krem przeciwtrądzikowy,Krem do codziennej pielęgnacji skóry z trądzikiem lub nadmiernie tłustej. Działa przeciwbakteryjnie i wygładza powierzchnię skóry. 75g,https://konopnysklep.com.pl/606-large_default/aknea-krem-przeciwtradzikowy.jpg,Producent,Cannaderm
61,https://konopnysklep.com.pl/kosmetyki/atopos-krem-na-azs-i-luszczyce.html,44.5,1,0,0,1,24,Kosmetyki konopne,Atopos krem na  AZS I ŁUSZCZYCĘ,"Atopos - krem przeznaczony dla skóry suchej, z atopowym zapaleniem skóry i łuszczycą. 75g",https://konopnysklep.com.pl/610-large_default/atopos-krem-na-azs-i-luszczyce.jpg,Producent,Cannaderm
62,https://konopnysklep.com.pl/kosmetyki/exema-lagodzacy-krem-z-obnizonym-ph-47.html,36,1,0,0,1,12,Kosmetyki konopne,"Exema łagodzący krem Z OBNIŻONYM pH 4,7","Exema - preparat do miejscowego leczenia swędzącej skóry, przy wyprysku, pokrzywce. 50g",https://konopnysklep.com.pl/613-large_default/exema-lagodzacy-krem-z-obnizonym-ph-47.jpg,Producent,Cannaderm
63,https://konopnysklep.com.pl/kosmetyki/regenerance-krem-regenerujacy.html,39,1,0,0,1,780,Kosmetyki konopne,REGENERANCE krem regenerujący,"REGENERANCE - do codziennej pielęgnacji skóry bardzo wrażliwej i suchej, po urazach, poparzeniach. 75 g",https://konopnysklep.com.pl/617-large_default/regenerance-krem-regenerujacy.jpg,Producent,Cannaderm
64,https://konopnysklep.com.pl/kosmetyki/venosil-zel-do-nog-na-zylaki-i-opuchniecia.html,37,1,0,0,1,429,Kosmetyki konopne,Venosil Żel do nóg na żylaki i opuchnięcia,"Venosil - Żel na „ciężkie nogi”, żylaki i obrzęki. 100ml",https://konopnysklep.com.pl/622-large_default/venosil-zel-do-nog-na-zylaki-i-opuchniecia.jpg,Producent,Cannaderm
